LETTER ANALYSIS

    Letter       Freq      Freq%   AvgFreq%       Diff 
         A          3        4.5        8.2       -3.7 
         B          7       10.6        1.5        9.1 
         C          5        7.6        2.8        4.8 
         D          2        3.0        4.3       -1.3 
         E          7       10.6       12.7       -2.1 
         F          1        1.5        2.2       -0.7 
         G          3        4.5        2.0        2.5 
         H          0        0.0        6.1       -6.1 
         I          2        3.0        7.0       -4.0 
         J          0        0.0        0.2       -0.2 
         K          2        3.0        0.8        2.2 
         L          0        0.0        4.0       -4.0 
         M          2        3.0        2.4        0.6 
         N          4        6.1        6.7       -0.6 
         O          6        9.1        7.5        1.6 
         P          0        0.0        1.9       -1.9 
         Q          6        9.1        0.1        9.0 
         R          4        6.1        6.0        0.1 
         S          3        4.5        6.3       -1.8 
         T          1        1.5        9.1       -7.6 
         U          2        3.0        2.8        0.2 
         V          5        7.6        1.0        6.6 
         W          1        1.5        2.4       -0.9 
         X          0        0.0        0.2       -0.2 
         Y          0        0.0        2.0       -2.0 
         Z          0        0.0        0.1       -0.1 


The most frequent letter is E at 10.6%
